,Links,DateTimeScraped,DateScraped,Price,Featured
82,https://www.rightmove.co.uk/properties/129712106#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1000000,0
20,https://www.rightmove.co.uk/properties/128898722#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1000000,0
14,https://www.rightmove.co.uk/properties/129842261#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1000000,0
31,https://www.rightmove.co.uk/properties/85169205#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
66,https://www.rightmove.co.uk/properties/129844559#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,740000,0
57,https://www.rightmove.co.uk/properties/129723563#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,450000,0
65,https://www.rightmove.co.uk/properties/96614875#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,550000,0
28,https://www.rightmove.co.uk/properties/129762146#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1090000,0
13,https://www.rightmove.co.uk/properties/84129467#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,775000,0
79,https://www.rightmove.co.uk/properties/129719093#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,600000,0
23,https://www.rightmove.co.uk/properties/114779810#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1395000,0
45,https://www.rightmove.co.uk/properties/129776279#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1100000,0
50,https://www.rightmove.co.uk/properties/128940077#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,375000,0
35,https://www.rightmove.co.uk/properties/129873416#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,475000,0
11,https://www.rightmove.co.uk/properties/129857951#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,650000,0
72,https://www.rightmove.co.uk/properties/129813164#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,200000,0
1,https://www.rightmove.co.uk/properties/128947184#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,800000,0
17,https://www.rightmove.co.uk/properties/129543230#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,699999,0
43,https://www.rightmove.co.uk/properties/128401964#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,470000,0
86,https://www.rightmove.co.uk/properties/127080413#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,599999,0
74,https://www.rightmove.co.uk/properties/129804980#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1400000,0
75,https://www.rightmove.co.uk/properties/129802289#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,695000,0
60,https://www.rightmove.co.uk/properties/129880724#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,835000,0
87,https://www.rightmove.co.uk/properties/129543338#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,580000,0
68,https://www.rightmove.co.uk/properties/129844517#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,650000,0
77,https://www.rightmove.co.uk/properties/129762347#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,450000,0
80,https://www.rightmove.co.uk/properties/129748277#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,520000,0
6,https://www.rightmove.co.uk/properties/129865172#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,690000,0
78,https://www.rightmove.co.uk/properties/128703287#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,750000,0
4,https://www.rightmove.co.uk/properties/129867263#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1800000,0
62,https://www.rightmove.co.uk/properties/129536615#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,957500,0
53,https://www.rightmove.co.uk/properties/129819509#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1330000,0
24,https://www.rightmove.co.uk/properties/126707624#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
85,https://www.rightmove.co.uk/properties/127600604#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,450000,0
61,https://www.rightmove.co.uk/properties/125752319#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,800000,0
33,https://www.rightmove.co.uk/properties/85918428#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
81,https://www.rightmove.co.uk/properties/85873389#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1400000,0
73,https://www.rightmove.co.uk/properties/129844556#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,800000,0
84,https://www.rightmove.co.uk/properties/129710564#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1250000,0
76,https://www.rightmove.co.uk/properties/129768620#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,430000,0
22,https://www.rightmove.co.uk/properties/125347238#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,800000,0
42,https://www.rightmove.co.uk/properties/127804364#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,860000,0
47,https://www.rightmove.co.uk/properties/129771188#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1250000,0
19,https://www.rightmove.co.uk/properties/77715060#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,775000,0
29,https://www.rightmove.co.uk/properties/121811447#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
46,https://www.rightmove.co.uk/properties/129774953#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
36,https://www.rightmove.co.uk/properties/101188595#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1000000,0
48,https://www.rightmove.co.uk/properties/129818759#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,775000,0
44,https://www.rightmove.co.uk/properties/85964289#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,625000,0
70,https://www.rightmove.co.uk/properties/129833408#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,750000,0
18,https://www.rightmove.co.uk/properties/129813185#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,750000,0
56,https://www.rightmove.co.uk/properties/129742787#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,575000,0
41,https://www.rightmove.co.uk/properties/129804065#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,775000,0
7,https://www.rightmove.co.uk/properties/129864857#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
26,https://www.rightmove.co.uk/properties/85966011#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,1750000,0
38,https://www.rightmove.co.uk/properties/129843668#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,840000,0
21,https://www.rightmove.co.uk/properties/125031992#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,795000,0
51,https://www.rightmove.co.uk/properties/128338349#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,529000,0
12,https://www.rightmove.co.uk/properties/129855956#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,875000,0
2,https://www.rightmove.co.uk/properties/129872840#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,425000,0
5,https://www.rightmove.co.uk/properties/128339606#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,850000,0
69,https://www.rightmove.co.uk/properties/129844520#/?channel=RES_BUY,2022-12-11 10:08:00,2022-12-11,575000,0
