,Date,Average Price,Median Price,10th Percentile,90th Percentile,Std dev,Sample Size
0,06/11/2022,867789.56,850000,524000,1250000,303834.617,120
1,13/11/2022,952266.24,875000,497500,1477500,448923.051,120
2,20/11/2022,871647.03,812500,500000,1254500,327990.409,120
3,27/11/2022,898337.72,850000,532500,1335000,324512.391,114
4,04/12/2022,890525.88,820000,500000,1345000,347098.867,112
5,11/12/2022,827932.29,795000,479500,1250000,306829.606,82
6,18/12/2022,863356.7,795000,500000,1276000,426277.487,67
7,08/01/2023,874763.71,825000,500000,1240495,343522.55,102
8,15/01/2023,1002648.7,832500,522500,1692000,644627.145,120
9,22/01/2023,919498.74,837500,509000,1454500,403034.803,120
10,29/01/2023,947707.91,875000,575000,1395000,394919.51,120
11,05/02/2023,914198.33,762500,500000,1600500,526967.74,120
12,11/02/2023,881978.33,800000,500000,1250000,410478.301,120
13,19/02/2023,880249.16,800000,475000,1400000,368616.051,120
