,Links,DateTimeScraped,DateScraped,Price,Featured
147,https://www.rightmove.co.uk/properties/125856029#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,775000,0
125,https://www.rightmove.co.uk/properties/129158177#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,1100000,0
16,https://www.rightmove.co.uk/properties/129183563#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,500000,0
73,https://www.rightmove.co.uk/properties/123911816#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,1000000,0
115,https://www.rightmove.co.uk/properties/129233810#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,950000,0
35,https://www.rightmove.co.uk/properties/127741865#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,1199999,0
18,https://www.rightmove.co.uk/properties/129171800#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,600000,0
56,https://www.rightmove.co.uk/properties/129230237#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,395000,0
38,https://www.rightmove.co.uk/properties/129111041#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,1175000,0
66,https://www.rightmove.co.uk/properties/85390809#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,900000,0
124,https://www.rightmove.co.uk/properties/121321949#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,1400000,0
42,https://www.rightmove.co.uk/properties/129097907#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,650000,0
28,https://www.rightmove.co.uk/properties/129176606#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,595000,0
138,https://www.rightmove.co.uk/properties/126130556#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,410000,0
146,https://www.rightmove.co.uk/properties/126388019#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,800000,0
113,https://www.rightmove.co.uk/properties/129269069#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,650000,0
82,https://www.rightmove.co.uk/properties/123203441#/?channel=RES_BUY,2022-11-20 21:16:00,2022-11-20,870000,0
